Publisher,Latitude,Longitude,Formatted address,Website,Type of Publisher,Genres Published,Year Established,Distributor
Fortuna Major Press,42.266757,-72.66898,"Easthampton, MA, USA",https://www.fortunamajorpress.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Erotica, Essays, Feminist, Political, Reviews, Visual Art",2022-01-01,
Frayed Edge Press,39.9525839,-75.1652215,"Philadelphia, PA, USA",https://www.frayededgepress.com/,Press,"Fiction, Poetry, Translation, Visual Art",2016-01-01,
Fuente Fountain Books,45.515232,-122.6783853,"Portland, OR, USA",http://fuentebooks.com/index.html,Press,"Creative Nonfiction, Fiction, Poetry, Environment Nature, Essays, Feminist",2022-01-01,
Future Tense Books,45.515232,-122.6783853,"Portland, OR, USA",http://www.futuretensebooks.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Essays, Experimental, Feminist, Humor, Visual Art",1992-01-01,Asterism Books and publisher website
Futurepoem Books,40.7127753,-74.0059728,"New York, NY, USA",http://www.futurepoem.com,Press,"Fiction, Poetry",2001-01-01,Asterism Books
Garden of Neuro Institute Publishing,41.7055897,-73.9283885,"Poughkeepsie, NY, USA",https://gardenofneuro.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Essays, Feminist, Horror Thriller Suspense, Humor, Mystery Crime, Regional, Sci Fi Fantasy Speculative",2021-01-01,Amazon
Gasher Press,33.3528264,-111.789027,"Gilbert, AZ, USA",http://gasherpress.com,Press,Poetry,2018-01-01,Itasca Books and publisher website
Gen Society,33.4482948,-112.0725488,"Phoenix, AZ, USA",https://gensociety.com/,"Online, Press","Poetry, Cross Genre Hybrid, Experimental, Visual Art",2026-01-01,
Ghostbird Press,40.6806563,-73.4742914,"Massapequa, NY, USA",http://www.ghostbirdpress.org,Chapbook,"Essays, Fiction, Graphic Novels Comics, Poetry, Translation, Visual Art",2011-01-01,
Gigantic Tentacles Magazine,38.9764364,-76.489642,"Annapolis, MD, USA",https://www.gigantictentacles.com,"Magazine, Online, Press",Poetry,2024-01-01,
"Gival Press, LLC",38.8816208,-77.0909809,"Arlington County, Arlington, VA, USA",http://givalpress.com,Press,"Essays, Fiction, Poetry, Translation, Visual Art",1998-01-01,
Golias Books,35.9955684,-78.9002077,"Durham, NC, USA",http://www.goliasbooks.com,Press,"Poetry, Essays, Translation, Visual Art",2017-01-01,Asterism Books
Good Printed Things,34.8484984,-82.4000158,"Greenville, SC, USA",https://goodprintedthings.com/,Press,"Essays, Poetry, Visual Art",2021-01-01,
great weather for MEDIA,42.2528649,-73.790959,"Hudson, NY 12534, USA",https://www.greatweatherformedia.com/,Press,"Fiction, Poetry",2012-01-01,
Green Linden Press,41.7434092,-92.7232456,"Grinnell, IA 50112, USA",https://www.greenlindenpress.com/,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Criticism Reviews, Experimental, Interviews, Translation",2008-01-01,Asterism Books and publisher website
Gunpowder Press,34.420285,-119.698935,"Santa Barbara, CA, USA",http://gunpowderpress.com,Press,Poetry,2013-01-01,
Half Mystic,40.7127753,-74.0059728,"New York, NY, USA",http://halfmystic.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Drama, Environment Nature, Essays, Experimental, Feminist, Flash Fiction, Sci Fi Fantasy Speculative, Translation, Visual Art",2015-01-01,
Headmistress Press,48.0795365,-123.1018437,"Sequim, WA, USA",https://headmistresspress.blogspot.com,"Magazine, Press","Poetry, Visual Art",2010-01-01,
Henar Press,39.9625112,-83.0032218,"Columbus, OH, USA",https://henarpress.org,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Drama, Experimental, Sci Fi Fantasy Speculative, Translation",2024-01-01,
her house publishing,40.6781784,-73.9441579,"Brooklyn, NY, USA",http://herhousepublishing.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Drama, Essays, Flash Fiction, Graphic Novels Comics, Humor, Mystery Crime, Religious, Sci Fi Fantasy Speculative, Visual Art, Young Adult",2020-01-01,
Hidden Hand Press,20.6751707,-103.3473385,"Guadalajara, Jalisco, Mexico",https://www.hiddenhandbooks.com,Press,"Poetry, Visual Art",2023-01-01,
Hidden River,39.9525839,-75.1652215,"Philadelphia, PA, USA",http://www.hiddenriverarts.com,Press,"Essays, Fiction, Poetry, Visual Art",2010-01-01,
Hidden Timber Books,43.0410344,-87.9096783,"Milwaukee, WI, USA",https://hiddentimberbooks.com/,Press,"Creative Nonfiction, Fiction, Poetry, Audio, Autobiography Memoir",,Ingram
Hobby Horse Press,40.6781784,-73.9441579,"Brooklyn, NY, USA",http://hobbyhorse.press,Press,"Fiction, Graphic Novels Comics, Poetry, Translation, Visual Art",2023-01-01,
Holland Park Press,51.586357,-2.102834,"Malmesbury SN16, UK",http://www.hollandparkpress.co.uk,Press,"Fiction, Poetry, Translation",2009-01-01,
Homodoxy,41.308274,-72.9278835,"New Haven, CT, USA",https://homodoxy.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Erotica, Essays, Experimental, Feminist, Political, Religious, Sci Fi Fantasy Speculative, Translation",2025-01-01,Self-distribution
Host Publications,30.267153,-97.7430608,"Austin, TX, USA",https://hostpublications.com/,Press,"Fiction, Poetry",1988-01-01,Asterism Books
Hub City Press,34.9515959,-81.9327167,"Spartanburg, SC, USA",http://www.hubcity.org,Press,"Essays, Fiction, Poetry, Visual Art",1995-01-01,
iExile,34.0549076,-118.242643,"Los Angeles, CA, USA",https://iexile.com/,"Online, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Drama, Essays, Experimental, Flash Fiction, Reviews, Translation",2007-01-01,
Incision Press,-33.7506759,150.687674,"Penrith NSW 2750, Australia",https://incisionpress.com/,Press,"Fiction, Poetry, Erotica, Experimental, Horror Thriller Suspense, Sci Fi Fantasy Speculative",2024-01-01,
Indolent Books,40.6781784,-73.9441579,"Brooklyn, NY, USA",http://www.indolentbooks.com/,Press,Poetry,2015-01-01,
